Player,Position,Price
Guglielmo Vicario,GK,€41.6M
André Onana,GK,€34.2M
Bart Verbruggen,GK,€32M
David Raya,GK,€28.7M
Filip Jørgensen,GK,€25.7M
Robert Sánchez,GK,€24.8M
Alisson,GK,€24.5M
Jordan Pickford,GK,€23.8M
Emiliano Martínez,GK,€23M
Dean Henderson,GK,€22.7M
Caoimhín Kelleher,GK,€20.9M
Antonín Kinský,GK,€20M
Ederson,GK,€19.5M
Mads Hermansen,GK,€19.2M
Aaron Ramsdale,GK,€18.7M
Bernd Leno,GK,€16M
Mark Flekken,GK,€13.9M
Alphonse Areola,GK,€11.6M
Nick Pope,GK,€11.5M
Kepa Arrizabalaga,GK,€11.4M
Arijanet Muric,GK,€10.4M
Matz Sels,GK,€10.2M
José Sá,GK,€8.6M
Sam Johnstone,GK,€7.9M
Stefan Ortega,GK,€5.8M
Hákon Rafn Valdimarsson,GK,€2.4M
Alex Palmer,GK,€1.6M
Neto,GK,€1.6M
Jason Steele,GK,€1.5M
Christian Walton,GK,€1.4M
Martin Dúbravka,GK,€1.2M
Robin Olsen,GK,€0.9M
Danny Ward,GK,€0.9M
Łukasz Fabiański,GK,€0.9M
Joe Lumley,GK,€0.7M
Jakub Stolarczyk,GK,€0.7M
Fraser Forster,GK,€0.7M
Alex McCarthy,GK,€0.6M
William Saliba,DF,€79.5M
Joško Gvardiol,DF,€77.4M
Rúben Dias,DF,€74.5M
Archie Gray,"DF,MF",€72.5M
Gabriel Magalhães,DF,€66.5M
Leny Yoro,DF,€66.2M
Murillo,DF,€66M
Jurriën Timber,DF,€62.7M
Rico Lewis,"DF,MF",€62.7M
Micky van de Ven,DF,€62M
Milos Kerkez,DF,€61.6M
Cristian Romero,DF,€60M
Ben White,DF,€59.9M
Levi Colwill,DF,€59.8M
Destiny Udogie,DF,€59.4M
Ibrahima Konaté,DF,€57.2M
Dean Huijsen,DF,€56.3M
Pedro Porro,DF,€55.9M
Trent Alexander-Arnold,DF,€55.4M
Illia Zabarnyi,DF,€55.1M
Sven Botman,DF,€52.7M
Matthijs de Ligt,DF,€50.8M
Riccardo Calafiori,DF,€49.3M
Lisandro Martínez,DF,€49.2M
Marc Guéhi,DF,€48.9M
Valentino Livramento,DF,€48.4M
Abdukodir Khusanov,DF,€48.4M
Pau Torres,DF,€46.1M
Noussair Mazraoui,DF,€45.3M
Ezri Konsa,DF,€44.3M
Rayan Aït-Nouri,DF,€44M
Manuel Akanji,DF,€43.7M
Antonee Robinson,DF,€42.7M
Matheus Nunes,"DF,MF",€42.3M
Jan Paul van Hecke,DF,€41.9M
Nikola Milenković,DF,€40.6M
Ian Maatsen,DF,€40.5M
Marc Cucurella,DF,€39.6M
Max Kilman,DF,€39.3M
Diogo Dalot,DF,€37.5M
Ferdi Kadioglu,"DF,MF",€37.4M
Reece James,"DF,MF",€37.4M
Nathan Aké,DF,€36.4M
Jean-Clair Todibo,DF,€36.1M
Lewis Hall,DF,€36.1M
Malo Gusto,DF,€36.1M
Myles Lewis-Skelly,DF,€35.7M
Pervis Estupiñán,DF,€35.4M
