Statistic,Team,Mean Value
Age,Fulham,28.97
Matches Played,Fulham,24.35
Starts,Crystal Palace,17.71
Minutes,Crystal Palace,1585.9
Gls,Liverpool,3.57
Ast,Liverpool,2.67
crdY,Chelsea,3.83
crdR,Arsenal,0.23
xG,Liverpool,3.52
xAG,Liverpool,2.54
PrgC,Manchester City,40.56
PrgP,Liverpool,79.57
PrgR,Liverpool,78.81
Gls per 90,Manchester City,0.18
Ast per 90,Liverpool,0.15
xG per 90,Liverpool,0.19
xAG per 90,Chelsea,0.16
GA90,Leicester City,0.33
Save%,Bournemouth,10.42
CS%,Brentford,5.5
PK Save%,Everton,4.76
SoT%,Nott'ham Forest,34.84
SoT per 90,Bournemouth,0.55
G per Sh,Arsenal,0.13
Dist,Crystal Palace,18.14
Cmp,Manchester City,767.72
Cmp%,Manchester City,86.55
TotDist,Liverpool,12863.48
ShortCmp%,Manchester City,92.15
MedCmp%,Manchester City,89.58
LongCmp%,Liverpool,60.38
KP,Liverpool,21.05
Pass into 1_3,Liverpool,66.0
PPA,Liverpool,18.38
CrsPA,Fulham,4.35
SCA,Liverpool,47.9
SCA90,Liverpool,2.62
GCA,Liverpool,6.24
GCA90,Liverpool,0.35
Tkl,Crystal Palace,32.62
TklW,Crystal Palace,19.14
Deff Att,Crystal Palace,27.95
Lost,Crystal Palace,14.05
Blocks,Crystal Palace,20.48
Sh,Brentford,8.19
Pass,Crystal Palace,14.57
Int,Everton,14.05
Touches,Liverpool,1070.52
Def Pen,Brentford,138.52
Def 3rd,Brentford,348.86
Mid 3rd,Liverpool,484.1
Att 3rd,Manchester City,343.48
Att Pen,Liverpool,54.14
Take-Ons Att,Arsenal,29.73
Succ%,Liverpool,52.23
Tkld%,Crystal Palace,45.94
Carries,Manchester City,643.48
ProDist,Manchester City,1994.16
Carries 1_3,Manchester City,30.36
CPA,Manchester City,14.04
Mis,Nott'ham Forest,23.29
Dis,Newcastle Utd,17.74
Rec,Manchester City,757.48
Rec PrgR,Liverpool,78.81
Fls,Bournemouth,19.35
Fld,Newcastle Utd,17.61
Off,Nott'ham Forest,3.71
Crs,Fulham,38.85
Recov,Crystal Palace,70.86
Aerl Won,Brentford,26.0
Aerl Lost,Crystal Palace,27.14
Aerl Won%,Southampton,54.33
