Player,Team,Nation,Position,Actual_Transfer_Value_M,Predicted_Transfer_Value_M
Erling Haaland,Manchester City,NOR,FW,199.6,131.92
Omar Marmoush,Manchester City,EGY,FW,79.1,101.54
Cole Palmer,Chelsea,ENG,MF,117.4,97.48
Sávio,Manchester City,BRA,FW,74.8,95.1
Jeremy Doku,Manchester City,BEL,FW,66.5,93.64
Martin Ødegaard,Arsenal,NOR,MF,125.8,93.16
Enzo Fernández,Chelsea,ARG,MF,74.2,88.15
Moisés Caicedo,Chelsea,ECU,MF,82.8,81.72
Dominik Szoboszlai,Liverpool,HUN,MF,70.5,81.46
Ryan Gravenberch,Liverpool,NED,MF,85.5,80.85
Alexis Mac Allister,Liverpool,ARG,MF,117.0,78.91
Morgan Rogers,Aston Villa,ENG,FW,79.6,76.34
Kai Havertz,Arsenal,GER,FW,70.0,75.02
Declan Rice,Arsenal,ENG,MF,116.4,75.01
Phil Foden,Manchester City,ENG,MF,99.8,73.75
Joško Gvardiol,Manchester City,CRO,DF,77.4,72.69
Ethan Nwaneri,Arsenal,ENG,FW,54.6,72.1
Bukayo Saka,Arsenal,ENG,FW,113.0,70.81
Rico Lewis,Manchester City,ENG,DF,62.7,68.82
Curtis Jones,Liverpool,ENG,MF,61.6,68.68
Nicolas Jackson,Chelsea,SEN,FW,66.9,68.35
Jack Grealish,Manchester City,ENG,FW,43.3,68.24
Alejandro Garnacho,Manchester Utd,ARG,MF,59.2,67.76
Bruno Guimarães,Newcastle Utd,BRA,MF,82.3,66.77
Ollie Watkins,Aston Villa,ENG,FW,63.2,64.79
Mikel Merino,Arsenal,ESP,MF,39.7,64.6
Gabriel Martinelli,Arsenal,BRA,FW,60.0,63.81
Kobbie Mainoo,Manchester Utd,ENG,MF,54.8,62.4
Joshua Zirkzee,Manchester Utd,NED,FW,43.3,62.3
Leandro Trossard,Arsenal,BEL,FW,31.8,62.19
Adam Wharton,Crystal Palace,ENG,MF,49.3,60.38
João Pedro,Brighton,BRA,FW,61.3,60.33
Harvey Elliott,Liverpool,ENG,MF,47.8,60.14
Rúben Dias,Manchester City,POR,DF,74.5,59.48
Dejan Kulusevski,Tottenham,SWE,MF,60.3,59.41
Bruno Fernandes,Manchester Utd,POR,MF,61.2,58.92
Bilal El Khannouss,Leicester City,MAR,MF,40.6,58.75
Liam Delap,Ipswich Town,ENG,FW,33.0,58.53
Cody Gakpo,Liverpool,NED,FW,67.7,58.12
