Player,Nation,Team,Position,Age,Matches Played,Starts,Minutes,Gls,Ast,crdY,crdR,xG,xAG,PrgC,PrgP,PrgR,Gls per 90,Ast per 90,xG per 90,xAG per 90,GA90,Save%,CS%,PK Save%,SoT%,SoT per 90,G per Sh,Dist,Cmp,Cmp%,TotDist,ShortCmp%,MedCmp%,LongCmp%,KP,Pass into 1_3,PPA,CrsPA,SCA,SCA90,GCA,GCA90,Tkl,TklW,Deff Att,Lost,Blocks,Sh,Pass,Int,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Take-Ons Att,Succ%,Tkld%,Carries,ProDist,Carries 1_3,CPA,Mis,Dis,Rec,Rec PrgR,Fls,Fld,Off,Crs,Recov,Aerl Won,Aerl Lost,Aerl Won%
Aaron Ramsdale,ENG,Southampton,GK,26.96,26,26,2340,0,0,2,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2.31,67.5,7.7,28.6,,0.0,,,691,64.4,19407,99.5,95.9,38.7,0,32,1,0,3.0,0.12,0.0,0.0,0,0,2,2,0,0,0,2,1154,835,1132,25,0,0,0,,,701,2092,0,0,2,0,628,0,1,4,0,0,19,5,0,100.0
Aaron Wan-Bissaka,ENG,West Ham,DF,27.42,32,31,2794,2,2,1,0,1.2,2.9,98,125,139,0.06,0.06,0.04,0.09,,,,,33.3,0.16,0.13,15.3,1277,81.1,18273,90.0,82.0,47.4,29,89,30,11,83.0,2.67,7.0,0.23,61,43,26,7,31,9,22,59,1960,136,620,838,531,40,101,53.5,34.7,933,3303,57,12,28,21,1135,139,22,24,4,64,155,22,29,43.1
Abdoulaye Doucouré,MLI,Everton,MF,32.33,30,29,2425,3,1,5,1,3.9,2.3,40,78,91,0.11,0.04,0.14,0.09,,,,,31.0,0.33,0.1,13.8,676,79.6,10229,85.1,83.1,72.7,26,44,14,0,54.0,2.0,2.0,0.07,45,27,39,26,30,6,24,9,1090,31,218,502,385,59,43,53.5,46.5,571,1339,24,8,33,35,705,91,46,5,10,23,139,29,43,40.3
Adam Armstrong,ENG,Southampton,"FW,MF",28.22,20,15,1248,2,2,4,0,3.3,1.2,25,21,79,0.14,0.14,0.24,0.09,,,,,28.0,0.5,0.08,16.6,231,80.2,3320,87.3,85.3,46.2,9,10,8,2,19.0,1.37,4.0,0.29,12,3,14,11,6,1,5,3,377,11,44,143,192,49,14,42.9,57.1,235,599,13,6,11,18,286,79,12,5,9,14,23,5,9,35.7
Adam Smith,ENG,Bournemouth,DF,34.0,22,17,1409,0,0,6,0,0.7,0.3,12,40,31,0.0,0.0,0.04,0.02,,,,,0.0,0.0,0.0,16.9,436,75.7,7088,88.0,78.1,37.5,7,41,8,5,20.0,1.28,2.0,0.13,21,10,25,13,12,5,7,14,707,39,217,332,162,6,15,40.0,40.0,305,585,15,0,10,6,333,31,15,11,0,30,43,12,13,48.0
Adam Wharton,ENG,Crystal Palace,MF,20.91,19,15,1258,0,2,2,0,0.3,3.0,14,105,10,0.0,0.14,0.02,0.21,,,,,41.7,0.36,0.0,25.8,521,75.6,9826,82.1,80.6,65.0,25,73,18,5,56.0,4.01,6.0,0.43,34,14,43,26,10,2,8,18,827,27,196,439,198,10,10,20.0,80.0,413,1021,22,2,14,13,509,10,12,21,0,35,96,7,16,30.4
Adama Traoré,ESP,Fulham,"FW,MF",29.26,32,16,1568,2,6,2,0,3.8,4.7,87,61,143,0.11,0.34,0.22,0.27,,,,,30.6,0.63,0.06,14.4,383,72.0,5972,81.2,73.4,55.3,37,32,32,17,73.0,4.19,9.0,0.52,17,12,13,8,7,0,7,1,725,4,74,258,415,86,88,50.0,37.5,483,2232,42,33,32,19,548,143,20,29,1,90,78,24,25,49.0
Alejandro Garnacho,ARG,Manchester Utd,"MF,FW",20.83,33,22,2056,5,1,2,0,7.0,3.6,134,54,274,0.22,0.04,0.31,0.16,,,,,34.6,1.23,0.06,17.1,600,79.1,8376,89.0,82.9,57.4,30,20,22,3,74.0,3.24,4.0,0.18,28,18,34,23,19,0,19,13,1078,13,120,340,636,164,85,30.6,60.0,783,3035,70,65,61,47,829,274,11,40,10,50,103,3,23,11.5
Alex Iwobi,NGA,Fulham,"FW,MF",28.99,34,32,2721,9,6,1,0,4.5,6.5,132,196,221,0.3,0.2,0.15,0.22,,,,,44.3,0.89,0.15,18.3,1037,74.4,17737,85.8,77.5,54.2,53,106,77,16,112.0,3.7,16.0,0.53,37,21,28,11,25,1,24,11,1693,31,225,678,815,107,86,48.8,45.3,1200,4024,99,37,54,38,1321,221,17,16,4,118,124,5,31,13.9
Alexander Isak,SWE,Newcastle Utd,FW,25.61,31,31,2487,22,6,1,0,19.0,4.0,77,77,196,0.8,0.22,0.69,0.15,,,,,42.5,1.34,0.22,14.5,459,74.0,6537,83.2,77.5,62.2,38,32,26,1,85.0,3.08,14.0,0.51,12,5,12,7,18,2,16,3,933,20,54,348,545,175,88,47.7,50.0,558,1723,40,43,62,50,659,196,25,13,20,15,54,25,48,34.2
Alexis Mac Allister,ARG,Liverpool,MF,26.35,33,30,2553,5,4,6,0,2.8,4.4,34,170,78,0.18,0.14,0.1,0.16,,,,,34.2,0.46,0.13,18.1,1245,83.4,19843,90.1,88.3,55.2,43,118,34,2,118.0,4.16,14.0,0.49,95,58,101,46,60,6,54,22,1827,55,279,944,624,60,42,38.1,50.0,893,1924,41,5,31,22,1203,78,60,39,2,84,145,19,34,35.8
Alisson,BRA,Liverpool,GK,32.58,24,24,2148,0,0,0,0,0.0,0.6,0,0,0,0.0,0.0,0.0,0.02,0.84,71.8,37.5,,,0.0,,,630,83.1,13996,98.9,98.5,47.8,1,10,0,0,6.0,0.25,1.0,0.04,1,0,1,1,0,0,0,0,801,577,786,15,0,0,1,100.0,0.0,509,1152,0,0,1,0,485,0,0,2,0,0,41,6,0,100.0
Alphonse Areola,FRA,West Ham,GK,32.17,23,22,1990,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1.72,63.1,18.2,,,0.0,,,615,70.4,16400,99.3,95.2,43.4,0,9,0,0,3.0,0.14,0.0,0.0,2,2,3,1,0,0,0,0,927,740,918,10,0,0,0,,,530,1174,0,0,0,0,481,0,0,0,0,0,27,2,0,100.0
Amad Diallo,CIV,Manchester Utd,"FW,MF",22.8,22,17,1594,6,6,3,0,4.1,3.9,92,53,159,0.34,0.34,0.23,0.22,,,,,32.5,0.73,0.15,17.7,658,82.9,9051,90.4,85.3,52.4,39,25,29,5,80.0,4.52,16.0,0.9,33,26,26,11,10,0,10,11,1012,13,150,374,504,109,72,50.0,44.4,656,2294,46,52,35,32,714,159,19,23,9,38,93,9,15,37.5
Amadou Onana,BEL,Aston Villa,MF,23.7,22,17,1348,3,0,4,0,2.1,0.3,20,58,13,0.2,0.0,0.14,0.02,,,,,35.3,0.4,0.18,14.7,589,88.4,9251,94.4,89.9,71.4,7,52,8,1,25.0,1.67,4.0,0.27,46,24,24,10,14,6,8,24,836,60,227,490,132,20,17,64.7,17.6,459,1237,20,1,10,9,563,13,30,23,0,1,64,25,18,58.1
Andreas Pereira,BRA,Fulham,MF,29.33,31,23,1879,2,4,7,0,3.5,4.5,27,99,78,0.1,0.19,0.17,0.21,,,,,22.9,0.38,0.06,22.1,641,68.9,11658,83.6,78.3,41.0,56,64,19,4,101.0,4.84,8.0,0.38,22,12,40,30,16,2,14,8,1096,17,156,446,511,39,29,44.8,27.6,556,1266,35,8,26,21,648,78,27,23,1,168,97,12,21,36.4
Andrew Robertson,SCO,Liverpool,DF,31.14,31,27,2308,0,0,3,1,1.0,4.1,58,165,95,0.0,0.0,0.04,0.16,,,,,15.4,0.08,0.0,14.5,1456,83.0,24521,94.1,86.8,46.8,38,144,28,16,75.0,2.92,3.0,0.12,38,22,47,17,9,4,5,20,1947,86,500,882,578,50,18,38.9,55.6,1028,2588,48,6,25,11,1302,95,11,8,2,136,91,6,12,33.3
André,BRA,Wolves,MF,23.79,29,27,2170,0,0,7,0,0.4,0.7,8,92,11,0.0,0.0,0.01,0.03,,,,,12.5,0.04,0.0,25.8,1074,92.7,16897,95.3,95.2,79.3,14,97,4,0,43.0,1.78,3.0,0.12,76,46,56,24,40,8,32,32,1402,80,380,905,131,3,26,50.0,34.6,768,1386,14,0,27,17,941,11,34,32,0,0,172,2,6,25.0
André Onana,CMR,Manchester Utd,GK,29.08,33,33,2970,0,0,0,0,0.0,0.2,0,1,0,0.0,0.0,0.0,0.01,1.3,69.0,27.3,25.0,,0.0,,,920,73.1,21868,99.1,99.0,36.3,1,24,0,0,4.0,0.12,0.0,0.0,1,1,3,2,0,0,0,0,1323,1005,1302,22,0,0,0,,,932,2615,0,0,1,0,810,0,0,2,0,0,33,6,0,100.0
Anthony Elanga,SWE,Nott'ham Forest,FW,23.01,33,26,2052,6,9,1,0,3.9,4.4,79,47,164,0.26,0.39,0.17,0.19,,,,,45.7,0.7,0.17,16.8,426,65.3,6133,84.1,63.2,34.3,40,26,23,7,82.0,3.6,14.0,0.61,17,12,16,12,9,1,8,5,900,29,124,259,533,86,73,30.1,46.6,468,2071,41,36,65,35,592,164,7,32,13,142,79,22,33,40.0
Anthony Gordon,ENG,Newcastle Utd,FW,24.18,30,25,2200,6,5,2,0,8.0,4.9,109,92,194,0.25,0.2,0.33,0.2,,,,,29.1,0.65,0.09,16.6,661,73.1,10125,86.1,77.7,42.2,50,59,50,16,98.0,4.01,12.0,0.49,31,17,34,22,24,2,22,6,1165,16,115,439,630,123,96,36.5,46.9,748,2978,55,55,28,35,838,194,19,62,8,120,92,5,7,41.7
