Position,Unmatched_Player
GK,Mark Travers
DF,Antony
DF,Diego Carlos
DF,Harry Clarke
DF,Jahmai Simpson-Pusey
DF,Joshua Acheampong
DF,Kosta Nedeljković
DF,Kyle Walker
DF,Lloyd Kelly
DF,Mads Roerslev
DF,Nico O’Reilly
DF,Renato Veiga
DF,Rodrigo Gomes
DF,Tyrell Malacia
MF,Billy Gilmour
MF,Diego Gómez
MF,Emi Buendía
MF,Hamza Choudhury
MF,Jeffrey Schlupp
MF,Mario Lemina
MF,Philip Billing
FW,Adam Armstrong
FW,Ali Al Hamadi
FW,Ben Brereton
FW,Jaden Philogene Bidace
FW,João Félix
FW,Jáder Durán
FW,Miguel Almirón
