Player,Team,Nation,Position,Actual_Transfer_Value_M,Predicted_Transfer_Value_M
Erling Haaland,Manchester City,NOR,FW,198.8,136.13
Omar Marmoush,Manchester City,EGY,FW,79.1,108.8
Martin Ødegaard,Arsenal,NOR,MF,126.5,107.75
Cole Palmer,Chelsea,ENG,MF,115.4,106.47
Sávio,Manchester City,BRA,FW,74.8,100.52
Ryan Gravenberch,Liverpool,NED,MF,85.3,93.09
Declan Rice,Arsenal,ENG,MF,107.8,89.8
Enzo Fernández,Chelsea,ARG,MF,73.7,84.63
Alexis Mac Allister,Liverpool,ARG,MF,106.1,80.91
Moisés Caicedo,Chelsea,ECU,MF,80.7,80.7
Joško Gvardiol,Manchester City,CRO,DF,78.7,74.97
Jeremy Doku,Manchester City,BEL,FW,66.2,74.05
Emile Smith Rowe,Fulham,ENG,MF,40.8,73.53
Jack Grealish,Manchester City,ENG,FW,43.5,72.61
Curtis Jones,Liverpool,ENG,MF,61.7,71.58
Bukayo Saka,Arsenal,ENG,FW,101.3,71.55
Dominik Szoboszlai,Liverpool,HUN,MF,71.4,71.4
Phil Foden,Manchester City,ENG,MF,105.7,71.39
Kai Havertz,Arsenal,GER,FW,70.5,71.07
Ethan Nwaneri,Arsenal,ENG,FW,74.3,69.62
Nicolas Jackson,Chelsea,SEN,FW,66.2,69.3
Gabriel Martinelli,Arsenal,BRA,FW,62.6,67.14
Bruno Guimarães,Newcastle Utd,BRA,MF,83.2,66.84
Malo Gusto,Chelsea,FRA,DF,32.8,66.8
Morgan Rogers,Aston Villa,ENG,FW,69.0,64.95
Rico Lewis,Manchester City,ENG,DF,62.7,64.84
Murillo,Nott'ham Forest,BRA,DF,68.4,64.44
Noni Madueke,Chelsea,ENG,FW,51.6,64.0
Ollie Watkins,Aston Villa,ENG,FW,61.4,63.37
Adam Wharton,Crystal Palace,ENG,MF,48.9,62.12
Matheus Cunha,Wolves,BRA,MF,62.6,61.98
Milos Kerkez,Bournemouth,HUN,DF,61.5,61.5
Lucas Paquetá,West Ham,BRA,MF,71.2,61.31
Leny Yoro,Manchester Utd,FRA,DF,71.0,61.08
Rúben Dias,Manchester City,POR,DF,58.5,60.46
Mohamed Salah,Liverpool,EGY,FW,38.5,60.18
Cody Gakpo,Liverpool,NED,FW,67.5,60.15
Bruno Fernandes,Manchester Utd,POR,MF,54.8,59.57
João Gomes,Wolves,BRA,MF,51.1,58.84
James Maddison,Tottenham,ENG,MF,58.1,58.76
Jean-Ricner Bellegarde,Wolves,FRA,MF,21.3,58.7
Liam Delap,Ipswich Town,ENG,FW,37.0,57.56
Alejandro Garnacho,Manchester Utd,ARG,MF,60.7,57.43
Mathys Tel,Tottenham,FRA,FW,56.4,57.4
Gabriel Magalhães,Arsenal,BRA,DF,75.5,57.05
Trent Alexander-Arnold,Liverpool,ENG,DF,55.8,56.51
Leandro Trossard,Arsenal,BEL,FW,31.8,56.45
Alexander Isak,Newcastle Utd,SWE,FW,120.3,56.34
Dejan Kulusevski,Tottenham,SWE,MF,60.5,56.17
João Pedro,Brighton,BRA,FW,61.3,56.11
Harvey Elliott,Liverpool,ENG,MF,48.5,56.03
Jørgen Strand Larsen,Wolves,NOR,FW,30.8,56.0
Dean Huijsen,Bournemouth,ESP,DF,55.0,55.71
Luis Díaz,Liverpool,COL,FW,71.0,55.08
Morgan Gibbs-White,Nott'ham Forest,ENG,MF,61.7,54.82
Darwin Núñez,Liverpool,URU,FW,60.9,54.23
Destiny Udogie,Tottenham,ITA,DF,59.4,53.45
Roméo Lavia,Chelsea,BEL,MF,54.6,52.6
Carlos Baleba,Brighton,CMR,MF,52.4,52.4
Anthony Gordon,Newcastle Utd,ENG,FW,49.5,51.51
Georginio Rutter,Brighton,FRA,MF,41.3,51.17
Rasmus Højlund,Manchester Utd,DEN,FW,54.9,51.06
